id,label,definition
,,
charter,Charter,"A formal legal document that establishes the university’s existence, powers, and responsibilities. Typically granted by a governmental authority or legislature, it outlines the institution’s founding principles, legal standing, and broad authority to operate, confer degrees, and govern itself within a defined jurisdiction."
statute,Statute,"A high-level governing instrument that defines the internal organizational structure, roles of key bodies, and governance processes of the university. It derives its authority from the charter and provides a legal framework for institutional operations, decision-making hierarchies, and distribution of responsibilities across academic and administrative units."
regulation,Regulation,"Detailed, binding rules designed to implement statutes and institutional policies. Regulations are enforceable and mandatory, ensuring standardized compliance with legal, procedural, or policy requirements. They apply across relevant departments or functions and serve as instruments of operational control, often with designated oversight or enforcement mechanisms."
directive,Directive,"A formal and authoritative instruction issued by a senior governing body or executive office, directing specific actions or responses. Directives are typically limited in scope or duration and are used to address urgent matters, enforce compliance with specific obligations, or coordinate targeted institutional responses to external or internal developments."
,,
policy,Policy,"Broad, principle-based statements that guide decision-making across institutional domains such as academic conduct, human resources, research ethics, financial operations, and governance. Policies reflect institutional values, ensure consistent practices, and support accountability. They provide a stable yet adaptable framework for action without prescribing detailed procedures."
policy/academic,Academic Policy,"Policies governing teaching, learning, curricula, grading, academic calendars, and integrity standards. Ensure quality and consistency in academic delivery and uphold academic standards across programs and faculties."
policy/research,Research Policy,"Rules and principles for ethical conduct of research, funding use, authorship, data management, and handling of research misconduct. Support compliance with legal, ethical, and institutional norms."
policy/hr,HR Policy,"Policies on recruitment, performance evaluation, promotion, leave, conduct, and benefits for academic and non-academic staff. Provide a framework for fair and transparent HR practices."
policy/student,Student Policy,"Guidelines covering admissions, registration, student rights and responsibilities, code of conduct, grievance procedures, and academic support. Aim to foster a safe and supportive student environment."
policy/finance,Finance Policy,"Policies on budgeting, purchasing, expense claims, financial controls, and audits. Ensure transparent and accountable financial management across departments and projects."
policy/governance,Governance Policy,"Defines roles, responsibilities, and procedures of institutional governance bodies, executive leadership, and administrative offices. Supports consistent and legitimate decision-making."
policy/it,IT Policy,"Policies on cybersecurity, acceptable technology use, digital identity, system access, and data governance. Ensure security, integrity, and ethical use of digital infrastructure."
policy/health,Safety Policy,"Regulations and protocols to protect physical and mental well-being, including emergency preparedness, occupational safety, and health-related accommodations."
policy/edi,EDI Policy,"Frameworks promoting non-discrimination, accessibility, inclusive teaching, and workplace diversity. Aim to build an equitable and respectful institutional culture."
policy/sustainability,Sustainability Policy,"Policies on energy use, waste management, sustainable procurement, and green infrastructure. Align institutional operations with environmental responsibility."
policy/external,External Policy,"Guidelines for institutional partnerships, public communications, fundraising, alumni relations, and collaborations. Ensure ethical and coherent engagement with external stakeholders."
policy/gender,Gender Policy,"Policies promoting equal opportunities, representation, and treatment across genders in all institutional domains, including hiring, promotion, research, leadership, and campus life. Address structural inequalities, prevent gender-based discrimination or harassment, and support inclusive practices aligned with legal and ethical standards."
policy/ipr,IPR Policy,"Guidelines for the ownership, protection, and use of intellectual property created within the institution. Defines rights and responsibilities of researchers, staff, and collaborators regarding patents, copyrights, trademarks, and licensing. Supports compliance with legal frameworks and promotes fair attribution and commercialization practices."
,,
strategy,Strategy,"A long-term, visionary document that articulates the university’s mission, values, and overarching goals. Strategies are informed by internal assessments and external trends and provide high-level guidance for institutional development, resource allocation, and stakeholder engagement over multi-year horizons. They often shape or inform subordinate plans and roadmaps."
strategy/roadmap,Roadmap,"A structured timeline or sequence of actions and initiatives designed to implement a strategic vision. Roadmaps include milestones, deadlines, dependencies, and responsible actors. They provide clarity on progress paths, help align resources and activities, and serve as a communication and monitoring tool for internal and external stakeholders."
